country_name,country_id,year,v2x_libdem_x,v2x_polyarchy,libdem_0_100,polyarchy_0_100,key,v2x_libdem_y,v2x_libdem_2014,delta_libdem,delta_libdem_0_100,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,WVS_Q57__Unnamed: 0,WVS_Q57__Unnamed: 1,WVS_Q57__Most people can be trusted,WVS_Q57__Need to be very careful,WVS_Q57__Don't know,GINI__Country,GINI__Code,GINI__LatestYear,GINI__LatestValue,WVS_Q61__Unnamed: 0,WVS_Q61__Unnamed: 1,WVS_Q61__Some or much trust,WVS_Q61__Little or no trust at all,WVS_Q61__Other missing; Refused,WVS_Q117__Unnamed: 0,WVS_Q117__Unnamed: 1,WVS_Q117__None of them,WVS_Q117__Few of them,WVS_Q117__None_or_few,WVS_Q117__Most of them,WVS_Q117__All of them,WVS_Q117__Most_or_all,WVS_Q117__Don't know,WVS_Q117__No answer,WVS_Q117__Missing; Not available,WVS_Q117__Missing; Not available.1,WVS_Q207__Unnamed: 0,WVS_Q207__Unnamed: 1,WVS_Q207__Daily,Polarization,Polarization_Level
Mexico,3,2024,0.251,0.505,25.1,50.5,mexico,0.251,0.424,-0.173,-17.299999999999997,35.83,32.5,34.83,47.474681854248,73.97,76.1527352378011,37.8,57.50029637325764,Mexico,1741.0,10.5,89.4,0.2,Mexico,MEX,2022.0,43.5,Mexico,1741.0,13.1,86.9,0.0,Mexico,1741.0,5.5,41.5,47.0,26.5,24.0,50.5,2.6,0.0,0.0,0.0,Mexico,1741.0,33.1,59.695,High Polarization
Suriname,4,2024,0.637,0.768,63.7,76.8,suriname,0.637,0.631,0.006,0.6000000000000005,,,,4.93785087797966,28.77,,,14.470710526787796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,5,2024,0.845,0.881,84.5,88.1,sweden,0.845,0.886,-0.041,-4.100000000000003,47.67,46.83,48.83,81.3998184204102,79.45,,64.3,64.19745460510255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,6,2024,0.847,0.894,84.7,89.4,switzerland,0.847,0.861,-0.014,-1.4000000000000012,47.17,51.17,50.33,74.0060882568359,82.19,,55.8,61.75068873087564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,7,2024,0.567,0.669,56.7,66.9,ghana,0.567,0.636,-0.069,-6.900000000000006,,,,22.0958254757285,53.42,68.4740978585423,,55.45540456119415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,8,2024,0.652,0.734,65.2,73.4,south africa,0.652,0.637,0.015,1.500000000000001,,,,23.493768799339,83.56,79.45707012517734,12.0,59.817191159962384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,9,2024,0.734,0.82,73.4,82.0,japan,0.734,0.747,-0.013,-1.3000000000000012,52.5,55.83,57.67,64.8912200927734,98.63,92.03580264328386,57.0,75.66100407122956,Japan,1353.0,33.7,61.0,4.3,Japan,JPN,2020.0,32.3,Japan,1353.0,10.5,70.4,19.1,Japan,1353.0,2.2,51.7,53.9,20.8,3.2,24.0,21.3,0.7,0.0,0.0,Japan,1353.0,25.1,39.0,Low Polarization
Burma/Myanmar,10,2024,0.016,0.083,1.6,8.3,burma/myanmar,0.016,0.165,-0.149,-14.900000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,11,2024,0.056,0.172,5.6000000000000005,17.2,russia,0.056,0.108,-0.052,-5.2,,,,60.3891235376867,,,,60.3891235376867,Russia,3648.0,22.9,74.1,2.8,Russian Federation,RUS,2023.0,33.0,Russia,3648.0,22.1,75.6,2.3,Russia,1810.0,4.8,39.9,44.7,25.0,14.9,39.9,14.7,0.6,0.0,0.4,Russia,1810.0,18.1,48.315,Medium Polarization
Albania,12,2024,0.396,0.507,39.6,50.7,albania,0.396,0.443,-0.0469999999999999,-4.699999999999998,26.33,28.0,29.17,81.9986267089844,72.6,,32.8,49.41299001057944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
