Country_std,WVS_Q57__Unnamed: 0,WVS_Q57__Unnamed: 1,WVS_Q57__Most people can be trusted,WVS_Q57__Need to be very careful,WVS_Q57__Don't know,GINI__Country,GINI__Code,GINI__LatestYear,GINI__LatestValue,WVS_Q61__Unnamed: 0,WVS_Q61__Unnamed: 1,WVS_Q61__Some or much trust,WVS_Q61__Little or no trust at all,WVS_Q61__Other missing; Refused,WVS_Q117__Unnamed: 0,WVS_Q117__Unnamed: 1,WVS_Q117__None of them,WVS_Q117__Few of them,WVS_Q117__None_or_few,WVS_Q117__Most of them,WVS_Q117__All of them,WVS_Q117__Most_or_all,WVS_Q117__Don't know,WVS_Q117__No answer,WVS_Q117__Missing; Not available,WVS_Q117__Missing; Not available.1,WVS_Q207__Unnamed: 0,WVS_Q207__Unnamed: 1,WVS_Q207__Daily,Polarization,Polarization_Level
Andorra,Andorra,1004,25.5,74.2,0.0,Andorra,AND,,,Andorra,1004,29.2,70.3,0.5,Andorra,1004,24.8,54.3,79.1,12.6,4.0,16.6,0.0,4.3,0.0,0.0,Andorra,1004,45.7,,
Argentina,Argentina,1003,19.2,76.2,4.0,Argentina,ARG,2024.0,42.4,Argentina,1003,31.6,66.6,1.8,Argentina,1003,5.9,38.3,44.2,33.8,10.5,44.3,10.8,0.7,0.0,22.7,Argentina,1003,28.0,51.86,High Polarization
Armenia,Armenia,2723,17.5,82.1,0.3,Armenia,ARM,2023.0,27.2,Armenia,2723,20.6,79.0,0.4,Armenia,1223,7.7,29.9,37.6,28.2,19.9,48.1,13.7,0.5,0.0,0.0,Armenia,1223,66.6,51.565000000000005,High Polarization
Bangladesh,Bangladesh,1200,12.9,87.0,0.1,Bangladesh,BGD,2022.0,30.9,Bangladesh,1200,20.6,79.1,0.3,Bangladesh,1200,13.8,49.5,63.3,20.7,4.2,24.9,11.7,0.1,0.0,0.0,Bangladesh,1200,14.6,44.145,Low Polarization
Bolivia,Bolivia,2067,8.5,90.5,0.7,Bolivia,BOL,2023.0,42.1,Bolivia,2067,10.5,89.3,0.2,Bolivia,2067,8.5,58.2,66.7,18.5,5.6,24.1,9.0,0.2,0.0,0.0,Bolivia,2067,32.8,49.24,Medium Polarization
Brazil,Brazil,1762,6.5,91.6,1.6,Brazil,BRA,2023.0,51.6,Brazil,1762,22.7,75.4,1.9,Brazil,1762,10.2,54.3,64.5,19.7,6.2,25.9,9.1,0.4,0.0,0.0,Brazil,1762,51.2,50.89,Medium Polarization
Canada,Canada,4018,46.7,53.3,0.0,Canada,CAN,2021.0,31.1,Canada,4018,49.5,50.5,0.0,Canada,4018,9.5,65.8,75.3,19.8,4.9,24.7,0.0,0.0,0.0,0.0,Canada,4018,54.2,34.78,Low Polarization
Chile,Chile,1000,12.9,85.0,1.9,Chile,CHL,2022.0,43.0,Chile,1000,25.6,73.8,0.6,Chile,1000,3.5,30.2,33.7,44.8,11.3,56.1,9.8,0.4,0.0,0.0,Chile,1000,39.6,59.16,High Polarization
China,China,3036,63.5,35.7,0.0,China,CHN,2022.0,36.0,China,3036,13.4,86.2,0.4,China,3036,10.6,70.6,81.2,16.1,0.5,16.6,0.7,1.4,0.1,0.0,China,3036,54.4,35.725,Low Polarization
Colombia,Colombia,1520,4.5,95.5,0.0,Colombia,COL,2023.0,53.9,Colombia,1520,14.3,85.7,0.0,Colombia,1520,9.4,43.2,52.6,28.2,19.3,47.5,0.0,0.0,0.0,0.0,Colombia,1520,55.6,62.349999999999994,High Polarization
Cyprus,Cyprus,1000,6.6,91.0,0.7,Cyprus,CYP,2023.0,31.8,Cyprus,1000,9.3,88.9,1.7,Cyprus,1000,4.8,55.3,60.1,23.2,6.1,29.3,9.0,1.6,0.0,0.0,Cyprus,1000,47.8,48.245,Medium Polarization
Czech Republic,Czechia,3029,27.3,69.0,1.4,Czechia,CZE,2023.0,25.7,Czechia,3029,36.8,60.1,3.0,Czechia,1200,6.9,55.4,62.3,26.2,6.8,33.0,4.3,0.3,0.0,0.2,Czechia,1200,34.3,40.275,Low Polarization
Ecuador,Ecuador,1200,5.8,92.3,1.5,Ecuador,ECU,2024.0,45.2,Ecuador,1200,7.8,92.0,0.2,Ecuador,1200,6.6,51.4,58.0,26.8,12.2,39.0,2.9,0.1,0.0,0.6,Ecuador,1200,54.9,56.805,High Polarization
Ethiopia,Ethiopia,1230,11.9,87.8,0.3,Ethiopia,ETH,2021.0,31.1,Ethiopia,1230,47.8,51.9,0.3,Ethiopia,1230,18.2,34.4,52.6,17.2,7.4,24.6,22.4,0.2,0.2,0.0,Ethiopia,1230,19.7,40.125,Low Polarization
Germany,Germany,3706,41.6,54.5,3.1,Germany,DEU,2020.0,32.4,Germany,3706,30.5,64.9,4.6,Germany,1528,6.9,58.2,65.1,24.9,2.9,27.8,6.7,0.3,0.0,7.1,Germany,1528,25.7,38.75,Low Polarization
Greece,Greece,1200,8.4,90.6,0.8,Greece,GRC,2023.0,33.4,Greece,1200,9.7,89.4,0.9,Greece,1200,0.4,17.2,17.6,57.3,21.9,79.2,2.9,0.4,0.0,0.0,Greece,1200,36.7,68.7,High Polarization
Guatemala,Guatemala,1229,18.0,82.0,0.0,Guatemala,GTM,2023.0,45.2,Guatemala,1229,18.4,80.0,1.6,Guatemala,1229,4.5,37.5,42.0,42.1,13.4,55.5,0.0,2.4,0.0,0.0,Guatemala,1229,70.5,60.06,High Polarization
India,India,1692,16.9,81.9,1.2,India,IND,2022.0,25.5,India,1692,33.4,65.3,1.3,India,1692,11.7,42.0,53.7,23.7,10.6,34.3,12.0,0.0,0.0,8.1,India,1692,47.7,43.449999999999996,Low Polarization
Indonesia,Indonesia,3200,4.6,95.3,0.0,Indonesia,IDN,2024.0,34.9,Indonesia,3200,9.3,90.6,0.1,Indonesia,3200,30.7,43.6,74.3,16.0,3.2,19.2,6.4,0.1,0.0,0.0,Indonesia,3200,35.8,46.03499999999999,Low Polarization
Iraq,Iraq,1200,11.0,86.8,1.9,Iraq,IRQ,2023.0,29.8,Iraq,1200,24.0,73.8,2.2,Iraq,1200,20.0,35.8,55.8,24.6,13.2,37.8,5.6,0.8,0.0,0.0,Iraq,1200,54.4,48.15,Medium Polarization
Japan,Japan,1353,33.7,61.0,4.3,Japan,JPN,2020.0,32.3,Japan,1353,10.5,70.4,19.1,Japan,1353,2.2,51.7,53.9,20.8,3.2,24.0,21.3,0.7,0.0,0.0,Japan,1353,25.1,39.0,Low Polarization
Jordan,Jordan,1203,15.9,83.5,0.6,Jordan,JOR,2010.0,33.7,Jordan,1203,29.8,69.9,0.3,Jordan,1203,11.0,30.0,41.0,28.2,8.9,37.1,21.9,0.0,0.0,0.1,Jordan,1203,53.1,47.96000000000001,Medium Polarization
Kazakhstan,Kazakhstan,1276,22.8,72.6,2.4,Kazakhstan,KAZ,2021.0,29.2,Kazakhstan,1276,19.8,78.8,1.4,Kazakhstan,1276,18.5,41.4,59.9,14.4,5.6,20.0,15.8,4.4,0.0,0.0,Kazakhstan,1276,33.7,39.47,Low Polarization
Kenya,Kenya,1266,9.5,89.4,0.6,Kenya,KEN,2022.0,37.7,Kenya,1266,25.0,73.8,1.2,Kenya,1266,20.9,50.0,70.9,17.5,8.5,26.0,2.6,0.5,0.0,0.0,Kenya,1266,60.0,46.19,Medium Polarization
Lebanon,Lebanon,1200,9.9,90.1,0.0,Lebanon,LBN,2022.0,35.3,Lebanon,1200,22.6,77.2,0.2,Lebanon,1200,8.6,35.8,44.4,38.2,14.6,52.8,2.7,0.2,0.0,0.2,Lebanon,1200,55.2,56.80500000000001,High Polarization
Libya,Libya,1196,9.1,89.2,1.1,Libya,LBY,,,Libya,1196,24.8,74.4,0.8,Libya,1196,5.0,34.9,39.9,36.1,12.5,48.6,10.5,0.8,0.3,0.5,Libya,1196,64.5,,
