country_id,country_name,v2x_libdem,v2x_libdem_2014,delta_libdem,delta_libdem_0_100
3,Mexico,0.251,0.424,-0.173,-17.299999999999997
4,Suriname,0.637,0.631,0.006000000000000005,0.6000000000000005
5,Sweden,0.845,0.886,-0.041000000000000036,-4.100000000000003
6,Switzerland,0.847,0.861,-0.014000000000000012,-1.4000000000000012
7,Ghana,0.567,0.636,-0.06900000000000006,-6.900000000000006
8,South Africa,0.652,0.637,0.015000000000000013,1.5000000000000013
9,Japan,0.734,0.747,-0.013000000000000012,-1.3000000000000012
10,Burma/Myanmar,0.016,0.165,-0.14900000000000002,-14.900000000000002
11,Russia,0.056,0.108,-0.052,-5.2
12,Albania,0.396,0.443,-0.046999999999999986,-4.699999999999998
13,Egypt,0.129,0.085,0.044,4.3999999999999995
14,Yemen,0.047,0.117,-0.07,-7.000000000000001
15,Colombia,0.557,0.553,0.0040000000000000036,0.40000000000000036
17,Poland,0.616,0.817,-0.20099999999999996,-20.099999999999994
19,Brazil,0.712,0.784,-0.07200000000000006,-7.200000000000006
20,United States of America,0.748,0.847,-0.09899999999999998,-9.899999999999999
21,Portugal,0.751,0.831,-0.07999999999999996,-7.9999999999999964
22,El Salvador,0.092,0.47,-0.378,-37.8
24,Bangladesh,0.068,0.108,-0.039999999999999994,-3.9999999999999996
25,Bolivia,0.314,0.389,-0.07500000000000001,-7.500000000000001
26,Haiti,0.079,0.246,-0.16699999999999998,-16.7
27,Honduras,0.382,0.267,0.11499999999999999,11.5
28,Mali,0.147,0.326,-0.17900000000000002,-17.900000000000002
29,Pakistan,0.199,0.286,-0.08699999999999997,-8.699999999999996
30,Peru,0.493,0.686,-0.19300000000000006,-19.300000000000004
31,Senegal,0.462,0.584,-0.12199999999999994,-12.199999999999994
32,South Sudan,0.072,0.067,0.0049999999999999906,0.49999999999999906
33,Sudan,0.038,0.062,-0.024,-2.4
34,Vietnam,0.124,0.118,0.006000000000000005,0.6000000000000005
36,Afghanistan,0.016,0.201,-0.185,-18.5
37,Argentina,0.553,0.604,-0.050999999999999934,-5.099999999999993
38,Ethiopia,0.098,0.104,-0.0059999999999999915,-0.5999999999999992
39,India,0.291,0.492,-0.201,-20.1
40,Kenya,0.432,0.422,0.010000000000000009,1.0000000000000009
41,North Korea,0.014,0.014,0.0,0.0
42,South Korea,0.631,0.602,0.029000000000000026,2.9000000000000026
43,Kosovo,0.473,0.407,0.066,6.6000000000000005
44,Lebanon,0.207,0.309,-0.10200000000000001,-10.200000000000001
45,Nigeria,0.315,0.386,-0.07100000000000001,-7.1000000000000005
46,Philippines,0.308,0.428,-0.12,-12.0
47,Tanzania,0.368,0.397,-0.029000000000000026,-2.9000000000000026
48,Taiwan,0.7,0.681,0.018999999999999906,1.8999999999999906
49,Thailand,0.289,0.118,0.17099999999999999,17.099999999999998
50,Uganda,0.201,0.251,-0.04999999999999999,-4.999999999999999
51,Venezuela,0.049,0.101,-0.052000000000000005,-5.2
52,Benin,0.329,0.485,-0.15599999999999997,-15.599999999999998
53,Bhutan,0.454,0.481,-0.02699999999999997,-2.6999999999999966
54,Burkina Faso,0.129,0.424,-0.295,-29.5
55,Cambodia,0.056,0.112,-0.056,-5.6000000000000005
56,Indonesia,0.326,0.517,-0.191,-19.1
57,Mozambique,0.171,0.3,-0.12899999999999998,-12.899999999999997
58,Nepal,0.522,0.497,0.025000000000000022,2.500000000000002
59,Nicaragua,0.019,0.126,-0.107,-10.7
60,Niger,0.18,0.492,-0.312,-31.2
61,Zambia,0.392,0.384,0.008000000000000007,0.8000000000000007
62,Zimbabwe,0.156,0.209,-0.05299999999999999,-5.299999999999999
63,Guinea,0.075,0.156,-0.081,-8.1
64,Ivory Coast,0.251,0.32,-0.069,-6.9
65,Mauritania,0.135,0.176,-0.04099999999999998,-4.099999999999998
66,Canada,0.744,0.743,0.0010000000000000009,0.10000000000000009
67,Australia,0.808,0.815,-0.006999999999999895,-0.6999999999999895
68,Botswana,0.478,0.608,-0.13,-13.0
69,Burundi,0.072,0.1,-0.02800000000000001,-2.800000000000001
70,Cape Verde,0.649,0.717,-0.06799999999999995,-6.799999999999995
71,Central African Republic,0.1,0.171,-0.07100000000000001,-7.1000000000000005
72,Chile,0.787,0.849,-0.061999999999999944,-6.199999999999994
73,Costa Rica,0.805,0.856,-0.050999999999999934,-5.099999999999993
74,Timor-Leste,0.549,0.473,0.07600000000000007,7.600000000000007
75,Ecuador,0.446,0.265,0.181,18.099999999999998
76,France,0.799,0.82,-0.020999999999999908,-2.0999999999999908
77,Germany,0.792,0.847,-0.05499999999999994,-5.499999999999994
78,Guatemala,0.469,0.413,0.055999999999999994,5.6
79,Iran,0.092,0.122,-0.03,-3.0
80,Iraq,0.228,0.256,-0.027999999999999997,-2.8
81,Ireland,0.83,0.825,0.0050000000000000044,0.5000000000000004
82,Italy,0.705,0.787,-0.08200000000000007,-8.200000000000006
83,Jordan,0.274,0.222,0.05200000000000002,5.200000000000002
84,Latvia,0.765,0.752,0.013000000000000012,1.3000000000000012
85,Lesotho,0.516,0.482,0.03400000000000003,3.400000000000003
86,Liberia,0.404,0.452,-0.04799999999999999,-4.799999999999999
87,Malawi,0.482,0.438,0.043999999999999984,4.399999999999999
88,Maldives,0.423,0.208,0.215,21.5
89,Mongolia,0.389,0.556,-0.16700000000000004,-16.700000000000003
90,Morocco,0.247,0.231,0.015999999999999986,1.5999999999999988
91,Netherlands,0.761,0.832,-0.07099999999999995,-7.099999999999995
92,Panama,0.584,0.546,0.03799999999999992,3.7999999999999923
93,Papua New Guinea,0.384,0.34,0.043999999999999984,4.399999999999999
94,Qatar,0.08,0.091,-0.010999999999999996,-1.0999999999999996
95,Sierra Leone,0.348,0.312,0.035999999999999976,3.599999999999998
96,Spain,0.745,0.776,-0.031000000000000028,-3.1000000000000028
97,Syria,0.054,0.026,0.028,2.8000000000000003
98,Tunisia,0.258,0.637,-0.379,-37.9
99,Türkiye,0.117,0.259,-0.14200000000000002,-14.200000000000001
100,Ukraine,0.233,0.212,0.02100000000000002,2.100000000000002
101,United Kingdom,0.752,0.8,-0.04800000000000004,-4.800000000000004
102,Uruguay,0.769,0.845,-0.07599999999999996,-7.599999999999996
103,Algeria,0.116,0.164,-0.048,-4.8
104,Angola,0.164,0.123,0.04100000000000001,4.1000000000000005
105,Armenia,0.414,0.204,0.21,21.0
106,Azerbaijan,0.054,0.065,-0.011000000000000003,-1.1000000000000003
107,Belarus,0.036,0.099,-0.063,-6.3
108,Cameroon,0.14,0.155,-0.014999999999999986,-1.4999999999999987
109,Chad,0.054,0.092,-0.038,-3.8
110,China,0.036,0.051,-0.015,-1.5
111,Democratic Republic of the Congo,0.133,0.133,0.0,0.0
112,Republic of the Congo,0.117,0.106,0.01100000000000001,1.100000000000001
113,Djibouti,0.121,0.115,0.0059999999999999915,0.5999999999999992
114,Dominican Republic,0.45,0.31,0.14,14.000000000000002
115,Eritrea,0.009,0.007,0.001999999999999999,0.19999999999999993
116,Gabon,0.155,0.228,-0.07300000000000001,-7.300000000000001
117,The Gambia,0.507,0.106,0.401,40.1
118,Georgia,0.328,0.496,-0.16799999999999998,-16.799999999999997
119,Guinea-Bissau,0.149,0.279,-0.13000000000000003,-13.000000000000004
120,Jamaica,0.684,0.683,0.0010000000000000009,0.10000000000000009
121,Kazakhstan,0.134,0.11,0.024000000000000007,2.400000000000001
122,Kyrgyzstan,0.183,0.314,-0.131,-13.100000000000001
123,Laos,0.102,0.074,0.027999999999999997,2.8
124,Libya,0.106,0.173,-0.06699999999999999,-6.699999999999999
125,Madagascar,0.221,0.223,-0.0020000000000000018,-0.20000000000000018
126,Moldova,0.518,0.518,0.0,0.0
127,Namibia,0.515,0.544,-0.029000000000000026,-2.9000000000000026
128,Palestine/West Bank,0.117,0.164,-0.047,-4.7
129,Rwanda,0.09,0.136,-0.04600000000000001,-4.600000000000001
130,Somalia,0.126,0.119,0.007000000000000006,0.7000000000000006
131,Sri Lanka,0.486,0.271,0.21499999999999997,21.499999999999996
132,Eswatini,0.097,0.096,0.0010000000000000009,0.10000000000000009
133,Tajikistan,0.05,0.054,-0.003999999999999997,-0.3999999999999997
134,Togo,0.173,0.258,-0.08500000000000002,-8.500000000000002
135,Trinidad and Tobago,0.627,0.63,-0.0030000000000000027,-0.30000000000000027
136,Turkmenistan,0.033,0.025,0.008,0.8
138,Palestine/Gaza,0.053,0.069,-0.016000000000000007,-1.6000000000000008
139,Somaliland,0.271,0.246,0.025000000000000022,2.500000000000002
140,Uzbekistan,0.078,0.038,0.04,4.0
144,Austria,0.762,0.808,-0.04600000000000004,-4.600000000000004
146,Bahrain,0.052,0.044,0.008,0.8
147,Barbados,0.67,0.664,0.006000000000000005,0.6000000000000005
148,Belgium,0.805,0.843,-0.03799999999999992,-3.7999999999999923
150,Bosnia and Herzegovina,0.342,0.375,-0.032999999999999974,-3.299999999999997
152,Bulgaria,0.508,0.565,-0.05699999999999994,-5.699999999999994
153,Comoros,0.107,0.297,-0.19,-19.0
154,Croatia,0.619,0.709,-0.08999999999999997,-8.999999999999996
155,Cuba,0.055,0.057,-0.0020000000000000018,-0.20000000000000018
156,Cyprus,0.651,0.732,-0.08099999999999996,-8.099999999999996
157,Czechia,0.817,0.776,0.040999999999999925,4.0999999999999925
158,Denmark,0.883,0.896,-0.013000000000000012,-1.3000000000000012
160,Equatorial Guinea,0.049,0.053,-0.003999999999999997,-0.3999999999999997
161,Estonia,0.85,0.839,0.01100000000000001,1.100000000000001
162,Fiji,0.414,0.145,0.269,26.900000000000002
163,Finland,0.802,0.856,-0.05399999999999994,-5.399999999999993
164,Greece,0.576,0.8,-0.2240000000000001,-22.40000000000001
166,Guyana,0.315,0.39,-0.07500000000000001,-7.500000000000001
167,Hong Kong,0.133,0.309,-0.176,-17.599999999999998
168,Iceland,0.759,0.778,-0.019000000000000017,-1.9000000000000017
169,Israel,0.617,0.663,-0.04600000000000004,-4.600000000000004
171,Kuwait,0.266,0.287,-0.020999999999999963,-2.099999999999996
173,Lithuania,0.734,0.774,-0.040000000000000036,-4.0000000000000036
174,Luxembourg,0.783,0.795,-0.01200000000000001,-1.200000000000001
176,North Macedonia,0.374,0.275,0.09899999999999998,9.899999999999999
177,Malaysia,0.362,0.212,0.15,15.0
178,Malta,0.637,0.592,0.04500000000000004,4.5000000000000036
180,Mauritius,0.368,0.619,-0.251,-25.1
183,Montenegro,0.478,0.372,0.10599999999999998,10.599999999999998
185,New Zealand,0.809,0.833,-0.02399999999999991,-2.399999999999991
186,Norway,0.839,0.856,-0.017000000000000015,-1.7000000000000015
187,Oman,0.14,0.143,-0.002999999999999975,-0.2999999999999975
189,Paraguay,0.388,0.411,-0.022999999999999965,-2.2999999999999963
190,Romania,0.445,0.567,-0.12199999999999994,-12.199999999999994
196,Sao Tome and Principe,0.565,0.569,-0.0040000000000000036,-0.40000000000000036
197,Saudi Arabia,0.047,0.046,0.0010000000000000009,0.10000000000000009
198,Serbia,0.22,0.356,-0.13599999999999998,-13.599999999999998
199,Seychelles,0.659,0.401,0.258,25.8
200,Singapore,0.343,0.325,0.018000000000000016,1.8000000000000016
201,Slovakia,0.584,0.732,-0.14800000000000002,-14.800000000000002
202,Slovenia,0.619,0.798,-0.17900000000000005,-17.900000000000006
203,Solomon Islands,0.519,0.44,0.07900000000000001,7.900000000000001
206,Vanuatu,0.686,0.622,0.06400000000000006,6.400000000000006
207,United Arab Emirates,0.078,0.087,-0.008999999999999994,-0.8999999999999995
210,Hungary,0.318,0.518,-0.2,-20.0
236,Zanzibar,0.261,0.251,0.010000000000000009,1.0000000000000009
