country_name,country_id,year,v2x_libdem,v2x_polyarchy,libdem_0_100,polyarchy_0_100
Mexico,3,2024,0.251,0.505,25.1,50.5
Suriname,4,2024,0.637,0.768,63.7,76.8
Sweden,5,2024,0.845,0.881,84.5,88.1
Switzerland,6,2024,0.847,0.894,84.7,89.4
Ghana,7,2024,0.567,0.669,56.699999999999996,66.9
South Africa,8,2024,0.652,0.734,65.2,73.4
Japan,9,2024,0.734,0.82,73.4,82.0
Burma/Myanmar,10,2024,0.016,0.083,1.6,8.3
Russia,11,2024,0.056,0.172,5.6000000000000005,17.2
Albania,12,2024,0.396,0.507,39.6,50.7
Egypt,13,2024,0.129,0.186,12.9,18.6
Yemen,14,2024,0.047,0.127,4.7,12.7
Colombia,15,2024,0.557,0.701,55.7,70.1
Poland,17,2024,0.616,0.729,61.6,72.89999999999999
Brazil,19,2024,0.712,0.801,71.2,80.10000000000001
United States of America,20,2024,0.748,0.84,74.8,84.0
Portugal,21,2024,0.751,0.831,75.1,83.1
El Salvador,22,2024,0.092,0.339,9.2,33.900000000000006
Bangladesh,24,2024,0.068,0.201,6.800000000000001,20.1
Bolivia,25,2024,0.314,0.576,31.4,57.599999999999994
Haiti,26,2024,0.079,0.218,7.9,21.8
Honduras,27,2024,0.382,0.541,38.2,54.1
Mali,28,2024,0.147,0.199,14.7,19.900000000000002
Pakistan,29,2024,0.199,0.313,19.900000000000002,31.3
Peru,30,2024,0.493,0.634,49.3,63.4
Senegal,31,2024,0.462,0.617,46.2,61.7
South Sudan,32,2024,0.072,0.161,7.199999999999999,16.1
Sudan,33,2024,0.038,0.135,3.8,13.5
Vietnam,34,2024,0.124,0.174,12.4,17.4
Afghanistan,36,2024,0.016,0.081,1.6,8.1
Argentina,37,2024,0.553,0.712,55.300000000000004,71.2
Ethiopia,38,2024,0.098,0.263,9.8,26.3
India,39,2024,0.291,0.398,29.099999999999998,39.800000000000004
Kenya,40,2024,0.432,0.549,43.2,54.900000000000006
North Korea,41,2024,0.014,0.083,1.4000000000000001,8.3
South Korea,42,2024,0.631,0.729,63.1,72.89999999999999
Kosovo,43,2024,0.473,0.651,47.3,65.10000000000001
Lebanon,44,2024,0.207,0.348,20.7,34.8
Nigeria,45,2024,0.315,0.502,31.5,50.2
Philippines,46,2024,0.308,0.435,30.8,43.5
Tanzania,47,2024,0.368,0.415,36.8,41.5
Taiwan,48,2024,0.7,0.8,70.0,80.0
Thailand,49,2024,0.289,0.389,28.9,38.9
Uganda,50,2024,0.201,0.272,20.1,27.200000000000003
Venezuela,51,2024,0.049,0.197,4.9,19.7
Benin,52,2024,0.329,0.501,32.9,50.1
Bhutan,53,2024,0.454,0.561,45.4,56.10000000000001
Burkina Faso,54,2024,0.129,0.156,12.9,15.6
Cambodia,55,2024,0.056,0.186,5.6000000000000005,18.6
Indonesia,56,2024,0.326,0.483,32.6,48.3
Mozambique,57,2024,0.171,0.304,17.1,30.4
Nepal,58,2024,0.522,0.669,52.2,66.9
Nicaragua,59,2024,0.019,0.153,1.9,15.299999999999999
Niger,60,2024,0.18,0.24,18.0,24.0
Zambia,61,2024,0.392,0.51,39.2,51.0
Zimbabwe,62,2024,0.156,0.27,15.6,27.0
Guinea,63,2024,0.075,0.161,7.5,16.1
Ivory Coast,64,2024,0.251,0.432,25.1,43.2
Mauritania,65,2024,0.135,0.333,13.5,33.300000000000004
Canada,66,2024,0.744,0.842,74.4,84.2
Australia,67,2024,0.808,0.857,80.80000000000001,85.7
Botswana,68,2024,0.478,0.594,47.8,59.4
Burundi,69,2024,0.072,0.175,7.199999999999999,17.5
Cape Verde,70,2024,0.649,0.757,64.9,75.7
Central African Republic,71,2024,0.1,0.302,10.0,30.2
Chile,72,2024,0.787,0.844,78.7,84.39999999999999
Costa Rica,73,2024,0.805,0.859,80.5,85.9
Timor-Leste,74,2024,0.549,0.733,54.900000000000006,73.3
Ecuador,75,2024,0.446,0.651,44.6,65.10000000000001
France,76,2024,0.799,0.866,79.9,86.6
Germany,77,2024,0.792,0.839,79.2,83.89999999999999
Guatemala,78,2024,0.469,0.597,46.9,59.699999999999996
Iran,79,2024,0.092,0.167,9.2,16.7
Iraq,80,2024,0.228,0.351,22.8,35.099999999999994
Ireland,81,2024,0.83,0.895,83.0,89.5
Italy,82,2024,0.705,0.803,70.5,80.30000000000001
Jordan,83,2024,0.274,0.273,27.400000000000002,27.3
Latvia,84,2024,0.765,0.838,76.5,83.8
Lesotho,85,2024,0.516,0.658,51.6,65.8
Liberia,86,2024,0.404,0.613,40.400000000000006,61.3
Malawi,87,2024,0.482,0.58,48.199999999999996,57.99999999999999
Maldives,88,2024,0.423,0.564,42.3,56.39999999999999
Mongolia,89,2024,0.389,0.496,38.9,49.6
Morocco,90,2024,0.247,0.263,24.7,26.3
Netherlands,91,2024,0.761,0.822,76.1,82.19999999999999
Panama,92,2024,0.584,0.726,58.4,72.6
Papua New Guinea,93,2024,0.384,0.461,38.4,46.1
Qatar,94,2024,0.08,0.087,8.0,8.7
Sierra Leone,95,2024,0.348,0.44,34.8,44.0
Spain,96,2024,0.745,0.829,74.5,82.89999999999999
Syria,97,2024,0.054,0.145,5.4,14.499999999999998
Tunisia,98,2024,0.258,0.434,25.8,43.4
Türkiye,99,2024,0.117,0.288,11.700000000000001,28.799999999999997
Ukraine,100,2024,0.233,0.389,23.3,38.9
United Kingdom,101,2024,0.752,0.833,75.2,83.3
Uruguay,102,2024,0.769,0.848,76.9,84.8
Algeria,103,2024,0.116,0.259,11.600000000000001,25.900000000000002
Angola,104,2024,0.164,0.34,16.400000000000002,34.0
Armenia,105,2024,0.414,0.623,41.4,62.3
Azerbaijan,106,2024,0.054,0.175,5.4,17.5
Belarus,107,2024,0.036,0.161,3.5999999999999996,16.1
Cameroon,108,2024,0.14,0.286,14.000000000000002,28.599999999999998
Chad,109,2024,0.054,0.204,5.4,20.4
China,110,2024,0.036,0.073,3.5999999999999996,7.3
Democratic Republic of the Congo,111,2024,0.133,0.327,13.3,32.7
Republic of the Congo,112,2024,0.117,0.254,11.700000000000001,25.4
Djibouti,113,2024,0.121,0.25,12.1,25.0
Dominican Republic,114,2024,0.45,0.705,45.0,70.5
Eritrea,115,2024,0.009,0.068,0.8999999999999999,6.800000000000001
Gabon,116,2024,0.155,0.229,15.5,22.900000000000002
The Gambia,117,2024,0.507,0.634,50.7,63.4
Georgia,118,2024,0.328,0.48,32.800000000000004,48.0
Guinea-Bissau,119,2024,0.149,0.28,14.899999999999999,28.000000000000004
Jamaica,120,2024,0.684,0.803,68.4,80.30000000000001
Kazakhstan,121,2024,0.134,0.272,13.4,27.200000000000003
Kyrgyzstan,122,2024,0.183,0.333,18.3,33.300000000000004
Laos,123,2024,0.102,0.134,10.2,13.4
Libya,124,2024,0.106,0.196,10.6,19.6
Madagascar,125,2024,0.221,0.417,22.1,41.699999999999996
Moldova,126,2024,0.518,0.632,51.800000000000004,63.2
Namibia,127,2024,0.515,0.623,51.5,62.3
Palestine/West Bank,128,2024,0.117,0.214,11.700000000000001,21.4
Rwanda,129,2024,0.09,0.202,9.0,20.200000000000003
Somalia,130,2024,0.126,0.169,12.6,16.900000000000002
Sri Lanka,131,2024,0.486,0.664,48.6,66.4
