Country,Law/Policy,Year
Algeria,Penal Code,2020
Angola,Amendments to the Penal Code,2020
Australia,National Security Legislation Amendment (Espionage and Foreign Interference) Bill 2018,2018
Australia,Foreign Influence Transparency Scheme Bill 2018,2018
Azerbaijan,"Law No. 30-VIQD - Amendments to the Law on Information, Informatization and Protection of Information",2020
Bangladesh,Digital Security Act,2018
Belarus,Article 22.9: Violation of Legislation on Mass Media and Amendments to Media Laws to Address Fake News,2018
Benin,Code du numérique (2018). Article 550(3),2018
Bolivia,"Decree 4200, then decree 4231 followed (annulled after outcry)",2020
Bosnia-Herzegovina,Decree,2020
Botswana,Regulation 31(3) of the Emergency Powers (COVID-19) Regulations,2020
Brazil,"Resolution TSE No. 23,551",2017
Burkina Faso,Revision to Law N. 025 (Penal Code),2019
Burma/Myanmar,Amendments to the Electronic Transactions Law of 2004,2021
Cambodia,"Joint-Directive, Ministries of Interior, Telecommunications and Information + COVID Emergency Bill",2018
Cameroon,Law N°2016/007 of the Penal Code,2016
Canada,Bill C-76 (Elections Modernization Act),2018
Chad,Law N° 014/PR/2014 on eCommunications,2014
Chad,Law N° 020/PR/2018 on Audio-visual Communication,2018
Chad,Law No. 025/PR/2018 on Press and Online Media,2018
China,2013 top court introduces sentences of up to three years for libelous posts,2013
China,Amendments to the country’s criminal code (clause added to Article 291),2015
China,Regulations regarding deepfakes and fake news set by Cyberspace Administration of China,2020
Costa Rica,"Ley 9048, amendment to the penal code",2012
Cote d’Ivoire,Loi 2013-451 – relative à la lutte contre la cybercriminalité (2013),2013
Cote d’Ivoire,Media Law of 2004 (Redrafted Proposal in 2016/2017),2017
Cuba,Decree 35,2021
Denmark,Lov om ændring af straffeloven (Ulovlig påvirkningsvirksomhed),2019
Egypt,"2018 Law on the Organisation of Press, Media and the Supreme Council of Media",2018
Eswatini,Regulation 29 (COVID-19 Regulations),2020
Ethiopia,"The Ethiopian Electoral, Political Parties Registration and Elections Code of Conduct Proclamation No. 1162/2019",2019
Ethiopia,Hate Speech and Disinformation Prevention and Suppression Proclamation No.1185/2020,2020
Fiji,False Information Act 2016,2016
France,"La Lutte Contre la Manipulation de l’Information 
 (Fight Against the Manipulation of Information)",2018
Gabon,Loi N° 019/2016 du 09 août 2016 portant Code de la Communication en République Gabonaise,2016
Greece,Amendment to criminal code,2021
Guinea,"Cybersecurity and Data Protection Law, 2016",2016
Hungary,Law on Protection Against the Coronavirus,2020
Jordan,Defense Law No. 13 of 1992,2020
Kazakhstan,"Article 274, introduced into Criminal Code",2014
Kenya,The Elections Offenses Act (2016),2016
Kenya,The Computer Misuse & Cybercimes Act (2018),2018
Kyrgyzstan,"Law on Manipulating Information, now Law on Protecting against False and Inaccurate Information",2021
Laos,Decree No. 327 on Internet-Based Information Control/Management,2014
Laos,"Ministerial Orders (Lao Ministry of Information, Culture and Tourism and Government order number 256)",2019
Lesotho,Lesotho Communications Authority (Internet Broadcasting) Rules 2020,2020
Lesotho,Legal Notice No. 26 of 2020: Declaration of COVID-19 State of Emergency Notice,2020
Lesotho,"Public Health (COVID-19) Risk Determination and Mitigation Measures Regulations, 2021",2021
Madagascar,Law 2016-029 Establishing the Code of Media Communication,2016
Malaysia,Anti-Fake News Act 2018 (Repealed in 2019),2018
Malaysia,Emergency (Essential Powers) (No. 2) Ordinance 2021,2021
Malta,"Criminal Code (Amended by the Media and Defamation Act, 2018)",2018
Mauritania,Loi n° 2020-015 relative à la lutte contre la manipulation de l’information,2020
Moldova,"Law amending several acts (Law on the Intelligence and Security Service of the Republic of Moldova - art.7, 9, 10, 10/1; Law no.64 / 2010 on freedom of expression - art.2, 5 , 6, 6/1, 28; etc.)",2022
Mongolia,Article 6.21 of the Law on Administrative Offences (2017),2017
Mongolia,Article 13.14 of the Mongolian Criminal Code (2020),2020
Morocco,"Law No. 22.20 on the use of social networks, open broadcasting networks or similar networks",2020
Namibia,Regulations published under Proclamation No. 9 of 28 March 2020 (as amended),2020
Nepal,2017 National Civil Code,2017
Nicaragua,Special Cybercrime Law,2020
Niger,"Cybercrime Law, 2019",2019
Nigeria,"Cybercrimes (Prohibition, Prevention, etc) Act, 2015",2015
Nigeria,Broadcasting Code of Conduct (2016),2016
Oman,Royal Decree (96/2011),2011
Pakistan,Citizens Protection (Against Online Harm) Rules,2020
Philippines,Revised Penal Code (Republic Act (RA) 10951) 2017,2017
Philippines,Bayanihan to Heal as One Act (Republic Act No. 11469) 2020,2020
Qatar,2014 Cybercrimes Law,2014
Qatar,2020 “Crimes against Internal State Security” section of the Penal Code (Article 136 bis),2020
Romania,No. 195 on the Establishment of a State of Emergency in the Territory of Romania,2020
Russia,Russian 2019 Fake News Law,2019
Russia,2020 COVID-19 Fake News Law (amendments to the Criminal Code and to the Code of Administrative Offences),2020
Russia,2022 Laws Establishing War Censorship and Prohibiting Anti-War Statements and Calls for Sanctions,2022
Rwanda,Law N° 60/2018 of 22/8/2018 on prevention and punishment of cyber crimes,2018
Rwanda,Law Nº 68/2018 of 30/08/2018 determining offences and penalties in general,2018
Senegal,New Press Code,2020
Sierra Leone,"Cyber Security and Cyber Crime Act, 2021",2021
Singapore,Protection from Online Falsehoods and Manipulation Bill,2019
Somalia,"Somalia Media Law, article 4 (t)",2020
South Africa,"Regulations Issued in Terms of Section 27(2) of the Disaster Management Act, 2002",2020
Sri Lanka,Penal Code & Code of Criminal Procedure (Amended 2019),2019
Sudan,"Cybercrimes Law 2018, Amended 2020 with more severe consequences",2018
Syria,Law No. 20 of 2022,2022
Taiwan,"Special Act for Prevention, Relief and Revitalization, Measures for Severe Pneumonia with Novel Pathogens (2020)",2020
Taiwan,Anti-infiltration law (2020),2020
Tajikistan,Amendments to the Administrative Code on False Information,2020
Tanzania,Regulation 12 of the Electronic and Postal Communications (Online Content) Regulations,2018
Thailand,Computer Crime Act of 2007 (amended in 2016),2016
The Gambia,Section 114 of the Criminal Code,2013
Togo,Article 497 of the Penal Code,2015
Togo,Loi N° 2018-026 sur la cybersecurity et la lutte contre la cybercriminalité,2018
Togo,Loi n°2020-001 relative au code de la presse et de la communication,2020
Turkey,Law on the Regulation of Publications on the Internet and Suppression of Crimes Committed by Means of such Publications w. no 5651 or Social Media Law as commonly known,2020
Uganda,Schedule 4 of the Uganda Communications Act (2013),2013
Uganda,Data Protection and Privacy Act 2019,2019
Uganda,Electoral Laws (Article 19) 2020,2020
Uganda,Amendments to Computer Misuse Act (2022),2022
United Arab Emirates,Government resolution (COVID-related),2020
United States of America,Countering Foreign Propaganda and Disinformation Act,2016
Uzbekistan,Amendments to the Law “On Informatization” (2014),2014
