Country,LatestValue,Diff10,Internet_Diff_Inverted,Internet_Freedom,MobileAccess,Media_Access
Iceland,99.8301,3.2833,95.47312733785473,94,100.0,97.84365546757094
Estonia,92.238,7.9965,88.97477012674912,92,100.0,93.86635402534982
United Kingdom,96.2988,6.4547,91.10053757733102,78,100.0,92.7097475154662
Japan,86.9815,-1.2379,101.70676321641935,78,100.0,92.03580264328386
Germany,93.5,7.30629999999999,89.92638816695646,77,100.0,91.43527763339128
Canada,93.9564,8.1564,88.75430689199231,86,94.1497,91.38269137839848
Australia,97.0631,13.6096,81.23566954505156,76,100.0,90.56606390901031
France,88.6538,4.90270000000001,93.24036834870417,76,100.0,90.44421366974083
United States,93.1444,21.7444,70.01975758695475,76,100.0,87.14727151739095
Hungary,93.779,18.1258,75.00892745118855,69,100.0,86.93548549023771
Chile,94.4574,36.4574,49.73410672405972,86,100.0,85.48404134481194
Singapore,94.3776,15.3484,78.83828697722707,53,100.0,84.68093739544543
Argentina,89.6672,24.9672,65.57629971969871,71,100.0,84.21541994393974
United Arab Emirates,100.0,9.59999999999999,86.76393337294962,30,100.0,83.35278667458992
Serbia,87.6907,25.6156,64.68231371959669,70,100.0,83.24367274391935
Bahrain,100.0,9.4969,86.90608321349637,28,100.0,82.98121664269928
Italy,89.2207,33.5822,53.69830867886131,75,100.0,82.50587173577226
Malaysia,98.0206,34.3552,52.63252956399569,60,100.0,81.93268591279914
Costa Rica,85.3951,39.4351,45.62858218287557,85,100.0,81.74424643657511
Brazil,84.4635,29.9125,58.75793302274535,65,100.0,80.09063660454908
South Africa,75.6592,29.1592,59.79655062588671,74,100.0,79.45707012517734
Colombia,77.3369,25.6369,64.65294619676791,65,100.0,79.13165923935358
Azerbaijan,89.0,16.0,77.93988895491603,34,100.0,79.0879777909832
Georgia,81.8843,38.5843,46.801628587697905,74,100.0,78.72561571753958
Morocco,91.0,35.0,51.74350708887881,54,100.0,78.44870141777577
Armenia,79.9966,38.0966,47.47404834749086,74,100.0,78.29378966949817
Kazakhstan,93.3917,27.3917,62.23350351789833,34,100.0,77.26421070357966
Ecuador,77.1727,31.5823,56.45568468380277,63,100.0,77.04294693676056
Mexico,81.1832,37.7232,47.988876189005516,61,100.0,76.1527352378011
Tunisia,72.3542,28.5542,60.63069857477895,60,100.0,75.83239971495578
Saudi Arabia,100.0,35.2863,51.34876897686584,25,100.0,75.26975379537316
Ukraine,82.3755,41.4214,42.88995727232242,59,100.0,75.09064145446449
Lebanon,83.4933,12.9933,82.0853974473694,50,74.0148,73.66950948947388
Philippines,83.7661,51.0661,29.59226021003984,60,100.0,73.04828204200797
Belarus,94.2618,35.2455,51.405022260030805,22,100.0,72.95954445200616
Thailand,90.8672,55.9811,22.815669848378107,39,100.0,69.62329396967561
Ghana,69.9445,54.9445,24.244889292711477,65,98.8059,68.4740978585423
Kenya,34.9762,18.4762,74.52581101930122,64,100.0,68.19802220386025
Nigeria,39.2136,20.1136,72.26823440522493,59,98.4773,67.56091688104499
China,92.0,44.1,39.196818931987295,9,100.0,67.23936378639746
Indonesia,72.7808,55.6376,23.289272857377256,49,100.0,66.29209457147545
Libya,88.4989,71.9989,0.7310169297564499,43,100.0,65.2958733859513
Uzbekistan,89.0136,62.2136,14.22256721784774,27,100.0,64.94859344356954
Zambia,33.0,28.2,61.119054283039496,62,100.0,64.5238108566079
Nicaragua,58.2314,42.7314,41.08378568050617,41,100.0,63.88617713610124
Jordan,92.5344,51.1344,29.498091111016137,47,67.5457,63.32364822220323
Iraq,81.7291,72.5291,0.0,40,100.0,62.518730000000005
Zimbabwe,38.4266,22.9266,68.38979113211111,48,91.6344,62.296258226422225
Cambodia,60.7171,54.7171,24.558418620939733,43,100.0,61.72681372418795
Bangladesh,44.5027,37.8727,47.782752026428014,40,100.0,60.9073604052856
India,55.9,44.8,38.231689073764876,50,80.5632,58.58529781475298
Rwanda,34.2005,25.2005,65.25463572552258,36,91.4623,57.949767145104516
Angola,44.7581,31.7581,56.21329921369492,59,70.052,57.48568984273899
Uganda,8.94983,3.54983,95.10564725055184,53,76.2967,55.19508845011037
Cuba,71.275,43.345,40.237780421927205,20,69.5768,54.303096084385444
Malawi,17.9881,12.9381,82.16150483047494,59,61.0866,51.95471096609499
Pakistan,27.3759,18.3759,74.66410034041509,27,76.5398,51.507530068083014
Ethiopia,16.6981,15.5981,78.49401136922972,27,56.9643,43.19752227384594
