Country,ISO3C,PressFreedom(i),Education(i),SocietalTrust(i),MediaAccess(i),IT(i),E-Participation(i),vMLI
Afghanistan,AFG,17.88,NA,NA,NA,NA,10.96,17.447499999999998
Albania,ALB,58.18,27.081666666666667,5.75,NA,32.8,72.6,38.11933333333333
Algeria,DZA,44.64,NA,NA,NA,NA,5.48,42.1925
Andorra,AND,63.3,NA,27.35,NA,NA,54.790000000000006,54.3352380952381
Angola,AGO,52.67,NA,NA,57.48568984273899,NA,21.92,53.70319729944693
Argentina,ARG,56.14,32.85833333333333,25.4,84.21541994393974,NA,63.01,53.14799483091231
Armenia,ARM,73.96,NA,19.05,78.29378966949817,NA,84.93,67.70902599608141
Australia,AUS,75.15,NA,48,90.56606390901032,NA,86.3,77.18285966754117
Austria,AUT,78.12,47.16833333333333,44.3,NA,52.3,78.08,60.19613333333333
Azerbaijan,AZE,25.47,28.778333333333336,20,79.0879777909832,17.2,49.32,39.5488944477458
Bahrain,BHR,30.24,NA,NA,82.98121664269928,48.8,90.41,55.1491736011247
Bangladesh,BGD,33.71,NA,16.75,60.9073604052856,12.2,61.63999999999999,40.876628716173435
Belarus,BLR,25.73,NA,30,72.95954445200616,44,49.32,44.66469444714506
Belgium,BEL,80.12,46.97,NA,NA,56.7,50.68,62.83323076923077
Belize,BLZ,68.32,NA,NA,NA,NA,23.29,65.505625
Benin,BEN,54.6,NA,NA,NA,NA,36.99,53.499375
Bhutan,BTN,32.62,NA,NA,NA,19.5,49.32,32.449714285714286
Bolivia,BOL,54.09,NA,9.5,NA,NA,42.47,42.92
Bosnia-Herzegovina,BIH,56.33,NA,NA,NA,NA,NA,56.33
Botswana,BWA,57.64,NA,NA,NA,NA,27.4,55.75
Brazil,BRA,63.8,33.916666666666664,14.6,80.09063660454908,37,86.3,53.633659151137266
Brunei,BRN,53.47,38.97333333333333,NA,NA,NA,NA,46.221666666666664
Bulgaria,BGR,60.78,34.80666666666667,22.3,NA,38,67.12,44.51786666666666
Burkina Faso,BFA,52.25,NA,NA,NA,NA,21.92,50.354375
Burundi,BDI,45.44,NA,NA,NA,NA,21.92,43.96999999999999
Cabo Verde,CPV,74.98,NA,NA,NA,9,54.790000000000006,68.17085714285714
Cambodia,KHM,28.18,22.081666666666667,NA,61.72681372418795,NA,31.51,35.79356716212297
Cameroon,CMR,42.75,NA,NA,NA,NA,42.47,42.7325
Canada,CAN,78.75,NA,48.1,91.38269137839848,NA,91.78,79.2780191710442
Central African Republic,CAF,60.15,NA,NA,NA,NA,8.219999999999999,56.904375
Chad,TCD,51.89,NA,NA,NA,NA,31.51,50.61625
Chile,CHL,62.25,40.05833333333334,19.25,85.48404134481194,NA,83.56,57.381144676497925
China,CHN,14.8,NA,38.45,67.23936378639746,43,93.15,40.354058495141956
Colombia,COL,49.8,34.03,9.4,79.13165923935358,25.8,73.97,48.12531480983839
Comoros,COM,59.27,NA,NA,NA,NA,0,55.565625000000004
Congo-Brazzaville,COG,60.58,NA,NA,NA,NA,NA,60.58
Costa Rica,CRI,73.09,34.83166666666667,NA,81.74424643657511,NA,72.6,62.373059320854914
Croatia,HRV,64.2,45.69166666666666,22.5,NA,50.3,91.78,51.41613333333333
Cuba,CUB,26.03,NA,NA,54.30309608438544,20,5.48,36.82395670182727
Cyprus,CYP,59.04,NA,7.95,NA,55,69.86,47.89822222222222
Czechia,CZE,83.96,48.195,32.05,NA,NA,NA,61.21642857142857
Côte d'Ivoire,CIV,63.69,NA,NA,NA,9.2,41.099999999999994,57.72857142857143
Denmark,DNK,86.93,NA,74.6,NA,67,98.63,83.38133333333333
Djibouti,DJI,25.36,NA,NA,NA,NA,9.59,24.374374999999997
Dominican Republic,DOM,69.87,25.08666666666667,NA,NA,NA,65.75,48.067741935483866
DR Congo,COD,42.31,NA,NA,NA,NA,NA,42.31
East Timor,TLS,71.79,NA,NA,NA,NA,NA,71.79
Ecuador,ECU,53.76,NA,6.8,77.04294693676056,14,87.67,54.63162390598591
Egypt,EGY,24.74,NA,13.3,NA,39.8,58.9,24.72
