Country,ISO3C,PressFreedom(i),Education(i),SocietalTrust(i),MediaAccess(i),IT(i),E-Participation(i)
Afghanistan,AFG,17.88,,,,,10.96
Albania,ALB,58.18,8.124500000000001,5.75,,32.8,72.6
Algeria,DZA,44.64,,,,,5.48
Andorra,AND,63.3,,27.35,,,54.790000000000006
Angola,AGO,52.67,,,57.48568984273899,,21.92
,,,,,,,34.25
Argentina,ARG,56.14,9.8575,25.4,84.21541994393974,,63.01
Armenia,ARM,73.96,,19.05,78.29378966949817,,84.93
Australia,AUS,75.15,,48.0,90.56606390901032,,86.3
Austria,AUT,78.12,14.150500000000003,44.3,,52.3,78.08
Azerbaijan,AZE,25.47,8.6335,20.0,79.0879777909832,17.2,49.32
,,,,,,,31.509999999999998
Bahrain,BHR,30.24,,,82.98121664269928,48.8,90.41
Bangladesh,BGD,33.71,,16.75,60.9073604052856,12.2,61.63999999999999
,,,,,,,32.879999999999995
Belarus,BLR,25.73,,30.0,72.95954445200616,44.0,49.32
Belgium,BEL,80.12,14.091000000000001,,,56.7,50.68
Belize,BLZ,68.32,,,,,23.29
Benin,BEN,54.6,,,,,36.99
Bhutan,BTN,32.62,,,,19.5,49.32
Bolivia,BOL,54.09,,9.5,,,42.47
,,,,,,36.0,54.790000000000006
,,,,16.45,,,
Bosnia-Herzegovina,BIH,56.33,,,,,
Botswana,BWA,57.64,,,,,27.400000000000002
Brazil,BRA,63.8,10.174999999999999,14.6,80.09063660454908,37.0,86.3
Brunei,BRN,53.47,11.692,,,,
,,,,,,47.5,46.58
Bulgaria,BGR,60.78,10.442000000000002,22.3,,38.0,67.12
Burkina Faso,BFA,52.25,,,,,21.92
Burundi,BDI,45.44,,,,,21.92
Cabo Verde,CPV,74.98,,,,9.0,54.790000000000006
Cambodia,KHM,28.18,6.624499999999999,,61.72681372418795,,31.509999999999998
Cameroon,CMR,42.75,,,,,42.47
Canada,CAN,78.75,,48.1,91.38269137839848,,91.78
Central African Republic,CAF,60.15,,,,,8.219999999999999
Chad,TCD,51.89,,,,,31.509999999999998
Chile,CHL,62.25,12.0175,19.25,85.48404134481194,,83.56
China,CHN,14.8,,38.45,67.23936378639746,43.0,93.15
Colombia,COL,49.8,10.209000000000001,9.4,79.13165923935358,25.8,73.97
Comoros,COM,59.27,,,,,0.0
,,,,,,,8.219999999999999
Congo-Brazzaville,COG,60.58,,,,,
Costa Rica,CRI,73.09,10.4495,,81.74424643657511,,72.6
Croatia,HRV,64.2,13.7075,22.5,,50.3,91.78
Cuba,CUB,26.03,,,54.30309608438544,20.0,5.48
Cyprus,CYP,59.04,,7.95,,55.0,69.86
,,,,,,53.7,58.9
Czechia,CZE,83.96,14.4585,32.05,,,
Côte d'Ivoire,CIV,63.69,,,,9.2,41.099999999999994
,,,,,,,0.0
,,,,,,,24.66
Denmark,DNK,86.93,,74.6,,67.0,98.63
Djibouti,DJI,25.36,,,,,9.59
,,,,,,,30.14
Dominican Republic,DOM,69.87,7.526000000000001,,,,65.75
DR Congo,COD,42.31,,,,,
East Timor,TLS,71.79,,,,,
Ecuador,ECU,53.76,,6.8,77.04294693676056,14.0,87.67
Egypt,EGY,24.74,,13.3,,39.8,58.9
El Salvador,SLV,41.19,8.099,,,0.0,38.36
Equatorial Guinea,GNQ,48.68,,,,,23.29
Eritrea,ERI,11.32,,,,,1.37
Estonia,EST,89.46,15.6495,34.05,93.86635402534982,57.7,95.89
Eswatini,SWZ,52.86,,,,,38.36
Ethiopia,ETH,36.92,,29.849999999999998,43.19752227384594,,16.439999999999998
Fiji,FJI,71.2,,,,,39.73
Finland,FIN,87.18,14.616000000000001,64.2,,69.0,89.03999999999999
France,FRA,76.62,13.7665,30.299999999999997,90.44421366974083,44.7,80.82000000000001
Gabon,GAB,70.65,,,,,12.33
Gambia,GMB,65.486,,,,,17.810000000000002
Georgia,GEO,50.53,8.883,11.1,78.72561571753958,30.0,
,,,,,,,56.16
Germany,DEU,83.85,14.017000000000001,36.05,91.43527763339128,43.3,97.26
Ghana,GHA,67.13,,,68.4740978585423,,53.42
,,,,48.5,,,
Greece,GRC,55.37,11.8505,9.05,,55.0,67.12
,,,,,,,24.66
Guatemala,GTM,40.32,8.4335,18.2,,,46.58
Guinea,GIN,52.53,,,,,50.68
Guinea-Bissau,GNB,51.36,,,,,21.92
Guyana,GUY,60.12,,,,,21.92
Haiti,HTI,51.061,,,,,9.59
Honduras,HND,38.51,,,,,30.14
Hong Kong,HKG,39.86,,,,,
,,,,,,54.0,
,,,,29.299999999999997,,,
Hungary,HUN,62.82,13.707500000000001,33.05,86.93548549023771,59.0,54.790000000000006
Iceland,ISL,81.36,12.034,61.15,97.84365546757094,66.0,95.89
India,IND,32.96,,25.15,58.58529781475298,,65.75
Indonesia,IDN,44.13,8.1575,6.95,66.29209457147545,,79.45
Iran,IRN,16.22,,24.4,,,
,,,,,,14.0,17.810000000000002
Iraq,IRQ,30.69,,17.5,62.518730000000005,10.0,9.59
Ireland,IRL,86.92,,,,44.5,91.78
Israel,ISR,51.055,13.441500000000001,,,68.0,69.86
Italy,ITA,68.01,13.933,26.450000000000003,82.50587173577226,44.3,65.75
Jamaica,JAM,75.83,,,,24.0,43.84
Japan,JPN,63.14,16.175,22.1,92.03580264328386,57.0,98.63
Jordan,JOR,35.25,7.525500000000001,22.85,63.32364822220323,,61.63999999999999
Kazakhstan,KAZ,39.34,9.933499999999999,21.3,77.26421070357966,21.8,84.93
Kenya,KEN,49.41,,17.25,68.19802220386025,,52.05
,,,,,,,32.879999999999995
,,,,,,60.2,
Kosovo,XKX,52.73,,,,,
Kuwait,KWT,44.06,,,,58.2,30.14
