Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI
"Macao SAR, China",,,,141.864795918367,,,,141.864795918367
Turkiye,,,,127.577972412109,,,,127.577972412109
Hong Kong,,,,120.08978583196,,,,120.08978583196
"Korea, Rep.",,,,106.709167480469,,,,106.709167480469
St. Kitts and Nevis,,,,93.92236328125,,,,93.92236328125
Australia,49.67,,51.17,104.64835357666,86.3,90.56606390901032,,83.01491600012133
Singapore,57.0,62.33,60.17,97.2886546863037,95.89,84.68093739544543,,80.81074795680414
Canada,51.17,,52.5,76.2586212158203,91.78,91.38269137839848,,79.37690556909699
Cyprus,,,,99.0216827392578,69.86,,55.0,78.11214974539621
Greece,39.67,38.33,40.0,165.113418579102,67.12,,55.0,78.07668797810884
Puerto Rico (US),,,,77.9263575380698,,,,77.9263575380698
Iceland,39.17,43.0,41.0,76.5200729370117,95.89,97.84365546757094,66.0,76.87997312758012
United Kingdom,49.0,,49.83,80.4987716674805,,92.7097475154662,62.0,76.70613500742185
Estonia,51.83,51.5,54.17,67.6179275512695,95.89,93.86635402534982,57.7,76.10623074283036
Chile,41.17,35.17,40.5,104.734062194824,83.56,85.48404134481194,,75.79858429683154
United States,50.5,,49.83,79.361930847168,,87.14727151739095,,75.77293097870877
Japan,52.5,55.83,57.67,64.8912200927734,98.63,92.03580264328386,57.0,75.66100407122956
Bahrain,,,,58.3677241853667,90.41,82.98121664269928,48.8,74.49152704651294
Germany,46.5,45.67,48.67,78.5947494506836,97.26,91.43527763339128,43.3,74.11132347095905
Finland,48.33,47.33,51.67,108.130409240723,89.03999999999999,,69.0,73.70510231018075
Armenia,,,,52.7748065090859,84.93,78.29378966949817,,73.42574899101871
Argentina,33.33,29.5,34.33,107.822574129434,63.01,84.21541994393974,,71.50172677443445
Netherlands,43.17,,48.0,86.5938262939453,93.15,,78.3,70.92649808016691
France,45.5,45.5,47.83,70.4536437988281,80.82000000000001,90.44421366974083,44.7,70.78923203772055
Grenada,,,,99.9891967773438,24.66,,,69.85751806640629
Denmark,48.0,,48.83,81.2308197021484,98.63,,67.0,69.79840537331322
China,,,,76.8757843123403,93.15,67.23936378639746,43.0,69.38948421521337
Norway,46.0,44.67,46.33,95.0573806762695,86.3,,71.0,69.06434516906738
New Zealand,50.0,,50.67,76.3811416625977,93.15,,,68.45704722086592
Ecuador,,,,67.8851161961618,87.67,77.04294693676056,14.0,68.22259493883799
Saudi Arabia,30.33,31.33,31.67,83.884129573915,95.89,75.26975379537316,82.0,68.17902095423652
Serbia,40.0,39.83,41.17,73.2060012817383,89.03999999999999,83.24367274391935,42.7,67.50236928982848
Italy,46.83,45.17,46.17,75.9496536254883,65.75,82.50587173577226,44.3,66.99129673813215
United Arab Emirates,36.17,38.5,38.5,63.7384451086316,78.08,83.35278667458992,62.4,66.2253814361307
Hungary,45.33,45.33,47.5,56.5924415588379,54.790000000000006,86.93548549023771,59.0,66.08306042992078
Spain,45.67,45.5,47.33,93.7303466796875,80.82000000000001,,58.0,65.72258666992188
Belarus,,,,70.1107509145358,49.32,72.95954445200616,44.0,65.37657389064377
Lebanon,,,,54.4012561547071,46.58,73.66950948947388,,65.05537264460864
Ukraine,37.83,40.0,41.67,85.2667604023424,100.0,75.09064145446449,23.8,64.96427064213715
Ireland,52.67,,50.5,76.6049499511719,91.78,,44.5,64.6258954412287
Austria,46.67,47.83,48.5,91.6818237304688,78.08,,52.3,64.3454559326172
Sweden,47.67,46.83,48.83,81.3998184204102,79.45,,64.3,64.19745460510255
Latvia,45.67,,48.83,85.7360610961914,78.08,,51.0,63.74619848077949
Costa Rica,35.83,30.67,35.0,55.0202903747559,72.6,81.74424643657511,,63.1874912564927
Croatia,45.83,43.83,47.0,81.1775207519531,91.78,,50.3,63.00104685465494
Andorra,,,,67.6767676767677,54.790000000000006,,,62.52206060606062
