Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check
"Macao SAR, China",NA,NA,NA,141.864795918367,NA,NA,NA,141.864795918367,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,TRUE,NA
Turkiye,NA,NA,NA,127.577972412109,NA,NA,NA,127.577972412109,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,TRUE,NA
Hong Kong,NA,NA,NA,120.08978583196,NA,NA,NA,120.08978583196,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,TRUE,NA
"Korea, Rep.",NA,NA,NA,106.709167480469,NA,NA,NA,106.709167480469,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,TRUE,NA
St. Kitts and Nevis,NA,NA,NA,93.92236328125,NA,NA,NA,93.92236328125,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Australia,49.67,NA,51.17,104.64835357666,86.3,90.56606390901032,NA,83.01491600012133,NA,TRUE,Math_0_100|IT,FALSE,NA
Singapore,57,62.33,60.17,97.2886546863037,95.89,84.68093739544543,NA,80.81074795680414,NA,TRUE,IT,FALSE,NA
Canada,51.17,NA,52.5,76.2586212158203,91.78,91.38269137839848,NA,79.37690556909699,NA,TRUE,Math_0_100|IT,FALSE,NA
Cyprus,NA,NA,NA,99.0216827392578,69.86,NA,55,78.11214974539621,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access,FALSE,NA
Greece,39.67,38.33,40,165.113418579102,67.12,NA,55,78.07668797810884,NA,TRUE,Media_Access,FALSE,NA
Puerto Rico (US),NA,NA,NA,77.9263575380698,NA,NA,NA,77.9263575380698,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Iceland,39.17,43,41,76.5200729370117,95.89,97.84365546757094,66,76.87997312758012,NA,FALSE,,FALSE,NA
United Kingdom,49,NA,49.83,80.4987716674805,NA,92.7097475154662,62,76.70613500742185,NA,TRUE,Math_0_100|EParticipation,FALSE,NA
Estonia,51.83,51.5,54.17,67.6179275512695,95.89,93.86635402534982,57.7,76.10623074283036,NA,FALSE,,FALSE,NA
Chile,41.17,35.17,40.5,104.734062194824,83.56,85.48404134481194,NA,75.79858429683154,NA,TRUE,IT,FALSE,NA
United States,50.5,NA,49.83,79.361930847168,NA,87.14727151739095,NA,75.77293097870877,NA,TRUE,Math_0_100|EParticipation|IT,FALSE,NA
Japan,52.5,55.83,57.67,64.8912200927734,98.63,92.03580264328386,57,75.66100407122956,NA,FALSE,,FALSE,NA
Bahrain,NA,NA,NA,58.3677241853667,90.41,82.98121664269928,48.8,74.49152704651294,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Germany,46.5,45.67,48.67,78.5947494506836,97.26,91.43527763339128,43.3,74.11132347095905,NA,FALSE,,FALSE,NA
Finland,48.33,47.33,51.67,108.130409240723,89.03999999999999,NA,69,73.70510231018075,NA,TRUE,Media_Access,FALSE,NA
Armenia,NA,NA,NA,52.7748065090859,84.93,78.29378966949817,NA,73.42574899101871,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Argentina,33.33,29.5,34.33,107.822574129434,63.01,84.21541994393974,NA,71.50172677443445,NA,TRUE,IT,FALSE,NA
Netherlands,43.17,NA,48,86.5938262939453,93.15,NA,78.3,70.92649808016691,NA,TRUE,Math_0_100|Media_Access,FALSE,NA
France,45.5,45.5,47.83,70.4536437988281,80.82000000000001,90.44421366974083,44.7,70.78923203772055,NA,FALSE,,FALSE,NA
Grenada,NA,NA,NA,99.9891967773438,24.66,NA,NA,69.85751806640629,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Denmark,48,NA,48.83,81.2308197021484,98.63,NA,67,69.79840537331322,NA,TRUE,Math_0_100|Media_Access,FALSE,NA
China,NA,NA,NA,76.8757843123403,93.15,67.23936378639746,43,69.38948421521337,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
